
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011752                       # Number of seconds simulated (Second)
simTicks                                  11751550000                       # Number of ticks simulated (Tick)
finalTick                                 12760491000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    143.26                       # Real time elapsed on the host (Second)
hostTickRate                                 82031505                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     802744                       # Number of bytes of host memory used (Byte)
simInsts                                     27246366                       # Number of instructions simulated (Count)
simOps                                       41958143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190193                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292888                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         23503100                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        73319160                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       61062306                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9554                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34123281                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          61920065                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            23428039                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.606377                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.193237                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7029097     30.00%     30.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1241245      5.30%     35.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3051142     13.02%     48.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3515195     15.00%     63.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3444755     14.70%     78.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2585121     11.03%     89.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1717483      7.33%     96.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    588339      2.51%     98.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    255662      1.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              23428039                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
