
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012995                       # Number of seconds simulated (Second)
simTicks                                  12994899500                       # Number of ticks simulated (Tick)
finalTick                                 14041790500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    121.51                       # Real time elapsed on the host (Second)
hostTickRate                                106945201                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     800272                       # Number of bytes of host memory used (Byte)
simInsts                                     27246366                       # Number of instructions simulated (Count)
simOps                                       41958143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   224231                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     345306                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         25989799                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50460508                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       48050081                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    754                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11264629                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14634262                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            25920374                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.853757                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.569370                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6512768     25.13%     25.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5102352     19.68%     44.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6218527     23.99%     68.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4134019     15.95%     84.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2411314      9.30%     94.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    913504      3.52%     97.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    518006      2.00%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     91266      0.35%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18618      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25920374                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
