kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrix_mul.1.sm_52.ptx 270 : 262144 1778656 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 267 : 262144 1747776 0 0 0 16384 8192 0 0 
matrix_mul.1.sm_52.ptx 266 : 262144 3142240 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 265 : 262144 3274144 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 264 : 262144 2417216 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 263 : 262144 3289856 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 261 : 262144 0 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 260 : 262144 2110784 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 259 : 262144 2080352 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 258 : 262144 2164992 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 255 : 8388608 60070848 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 254 : 8388608 71658720 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 253 : 8388608 91979616 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 252 : 8388608 89967328 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 251 : 8388608 91467648 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 250 : 8388608 53338880 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 191 : 8388608 40283936 0 262144 262144 0 0 0 0 
matrix_mul.1.sm_52.ptx 188 : 8388608 2074924064 0 0 0 524288 262144 0 0 
matrix_mul.1.sm_52.ptx 187 : 8388608 93452000 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 186 : 8388608 93704448 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 184 : 8388608 0 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 183 : 8388608 69795232 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 182 : 8388608 61569248 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 181 : 8388608 69336896 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 178 : 262144 2111424 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 177 : 262144 2146880 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 176 : 262144 2113408 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 175 : 262144 3227392 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 174 : 262144 2108256 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 173 : 262144 2882400 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 172 : 262144 3175680 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 171 : 262144 2916288 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 170 : 262144 2884192 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 169 : 262144 2900992 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 168 : 262144 1905984 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 154 : 262144 2081216 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 153 : 262144 1852416 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 152 : 262144 2874272 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 249 : 8388608 97048576 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 151 : 262144 1807968 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 248 : 8388608 271350304 0 262144 262144 0 0 0 0 
matrix_mul.1.sm_52.ptx 197 : 8388608 2828183648 0 0 0 524288 262144 0 0 
matrix_mul.1.sm_52.ptx 150 : 262144 2045152 0 0 0 0 0 0 0 
matrix_mul.1.sm_52.ptx 247 : 8388608 270795008 0 262144 262144 0 0 0 0 
matrix_mul.1.sm_52.ptx 196 : 8388608 89244288 0 0 0 0 0 0 0 
